model_family,checkpoint,loading_precision,dataset,batch_size,method,scoring_method,prompting_method,mask_strategy,seed,n_shot,sample,mask_accuracy,accuracy
gpt-3.5-turbo-0301,flan-t5-xl,,disambiguation_qa,16,process_of_elimination(cot),,,,0,0,100,,0.3700
gpt-3.5-turbo-0301,flan-t5-xl,,disambiguation_qa,16,process_of_elimination(cot),,,,0,3,100,,0.6100
gpt-3.5-turbo-0301,flan-t5-xl,,disambiguation_qa,16,process_of_elimination(mcp),,,,0,0,100,,0.5500
gpt-3.5-turbo-0301,flan-t5-xl,,disambiguation_qa,16,process_of_elimination(mcp),,,,0,3,100,,0.3300
gpt-3.5-turbo-0301,flan-t5-xl,,disambiguation_qa,16,chain_of_thought,,,,0,0,100,,0.5800
gpt-3.5-turbo-0301,flan-t5-xl,,disambiguation_qa,16,chain_of_thought,,,,0,3,100,,0.6800
gpt-3.5-turbo-0301,flan-t5-xl,,disambiguation_qa,16,multiple_choice_prompt,,,,0,0,100,,0.4800
gpt-3.5-turbo-0301,flan-t5-xl,,disambiguation_qa,16,multiple_choice_prompt,,,,0,3,100,,0.6100
gpt-3.5-turbo-0301,flan-t5-xl,,logical_deduction_three_objects,16,process_of_elimination(cot),,,,0,0,100,,0.4600
gpt-3.5-turbo-0301,flan-t5-xl,,logical_deduction_three_objects,16,process_of_elimination(cot),,,,0,3,100,,0.7000
gpt-3.5-turbo-0301,flan-t5-xl,,logical_deduction_three_objects,16,process_of_elimination(mcp),,,,0,0,100,,0.4200
gpt-3.5-turbo-0301,flan-t5-xl,,logical_deduction_three_objects,16,process_of_elimination(mcp),,,,0,3,100,,0.4200
gpt-3.5-turbo-0301,flan-t5-xl,,logical_deduction_three_objects,16,chain_of_thought,,,,0,0,100,,0.6800
gpt-3.5-turbo-0301,flan-t5-xl,,logical_deduction_three_objects,16,chain_of_thought,,,,0,3,100,,0.8400
gpt-3.5-turbo-0301,flan-t5-xl,,logical_deduction_three_objects,16,multiple_choice_prompt,,,,0,0,100,,0.5100
gpt-3.5-turbo-0301,flan-t5-xl,,logical_deduction_three_objects,16,multiple_choice_prompt,,,,0,3,100,,0.6400
gpt-3.5-turbo-0301,flan-t5-xl,,disambiguation_qa,16,process_of_elimination(cot),,,,1,0,100,,0.4200
gpt-3.5-turbo-0301,flan-t5-xl,,disambiguation_qa,16,process_of_elimination(cot),,,,1,3,100,,0.6600
gpt-3.5-turbo-0301,flan-t5-xl,,disambiguation_qa,16,process_of_elimination(mcp),,,,1,0,100,,0.5000
gpt-3.5-turbo-0301,flan-t5-xl,,disambiguation_qa,16,process_of_elimination(mcp),,,,1,3,100,,0.4400
gpt-3.5-turbo-0301,flan-t5-xl,,disambiguation_qa,16,chain_of_thought,,,,1,0,100,,0.5800
gpt-3.5-turbo-0301,flan-t5-xl,,disambiguation_qa,16,chain_of_thought,,,,1,3,100,,0.6800
gpt-3.5-turbo-0301,flan-t5-xl,,disambiguation_qa,16,multiple_choice_prompt,,,,1,0,100,,0.5000
gpt-3.5-turbo-0301,flan-t5-xl,,disambiguation_qa,16,multiple_choice_prompt,,,,1,3,100,,0.7200
gpt-3.5-turbo-0301,flan-t5-xl,,logical_deduction_three_objects,16,process_of_elimination(cot),,,,1,0,100,,0.4900
gpt-3.5-turbo-0301,flan-t5-xl,,logical_deduction_three_objects,16,process_of_elimination(cot),,,,1,3,100,,0.6400
gpt-3.5-turbo-0301,flan-t5-xl,,logical_deduction_three_objects,16,process_of_elimination(mcp),,,,1,0,100,,0.4300
gpt-3.5-turbo-0301,flan-t5-xl,,logical_deduction_three_objects,16,process_of_elimination(mcp),,,,1,3,100,,0.4900
gpt-3.5-turbo-0301,flan-t5-xl,,logical_deduction_three_objects,16,chain_of_thought,,,,1,0,100,,0.6500
gpt-3.5-turbo-0301,flan-t5-xl,,logical_deduction_three_objects,16,chain_of_thought,,,,1,3,100,,0.8800
gpt-3.5-turbo-0301,flan-t5-xl,,logical_deduction_three_objects,16,multiple_choice_prompt,,,,1,0,100,,0.6000
gpt-3.5-turbo-0301,flan-t5-xl,,logical_deduction_three_objects,16,multiple_choice_prompt,,,,1,3,100,,0.6000
gpt-3.5-turbo-0301,flan-t5-xl,,disambiguation_qa,16,process_of_elimination(cot),,,,2,0,100,,0.4000
gpt-3.5-turbo-0301,flan-t5-xl,,disambiguation_qa,16,process_of_elimination(cot),,,,2,3,100,,0.5900
gpt-3.5-turbo-0301,flan-t5-xl,,disambiguation_qa,16,process_of_elimination(mcp),,,,2,0,100,,0.4700
gpt-3.5-turbo-0301,flan-t5-xl,,disambiguation_qa,16,process_of_elimination(mcp),,,,2,3,100,,0.4100
gpt-3.5-turbo-0301,flan-t5-xl,,disambiguation_qa,16,chain_of_thought,,,,2,0,100,,0.5700
gpt-3.5-turbo-0301,flan-t5-xl,,disambiguation_qa,16,chain_of_thought,,,,2,3,100,,0.6500
gpt-3.5-turbo-0301,flan-t5-xl,,disambiguation_qa,16,multiple_choice_prompt,,,,2,0,100,,0.5300
gpt-3.5-turbo-0301,flan-t5-xl,,disambiguation_qa,16,multiple_choice_prompt,,,,2,3,100,,0.6300
gpt-3.5-turbo-0301,flan-t5-xl,,logical_deduction_three_objects,16,process_of_elimination(cot),,,,2,0,100,,0.5100
gpt-3.5-turbo-0301,flan-t5-xl,,logical_deduction_three_objects,16,process_of_elimination(cot),,,,2,3,100,,0.6900
gpt-3.5-turbo-0301,flan-t5-xl,,logical_deduction_three_objects,16,process_of_elimination(mcp),,,,2,0,100,,0.5300
gpt-3.5-turbo-0301,flan-t5-xl,,logical_deduction_three_objects,16,process_of_elimination(mcp),,,,2,3,100,,0.4100
gpt-3.5-turbo-0301,flan-t5-xl,,logical_deduction_three_objects,16,chain_of_thought,,,,2,0,100,,0.7100
gpt-3.5-turbo-0301,flan-t5-xl,,logical_deduction_three_objects,16,chain_of_thought,,,,2,3,100,,0.9200
gpt-3.5-turbo-0301,flan-t5-xl,,logical_deduction_three_objects,16,multiple_choice_prompt,,,,2,0,100,,0.5100
gpt-3.5-turbo-0301,flan-t5-xl,,logical_deduction_three_objects,16,multiple_choice_prompt,,,,2,3,100,,0.5400
gpt-3.5-turbo-0301,flan-t5-xl,,cqa,16,process_of_elimination(mcp),,,,0,0,100,,0.7400
gpt-3.5-turbo-0301,flan-t5-xl,,cqa,16,process_of_elimination(mcp),,,,0,3,100,,0.7000
gpt-3.5-turbo-0301,flan-t5-xl,,cqa,16,multiple_choice_prompt,,,,0,0,100,,0.7200
gpt-3.5-turbo-0301,flan-t5-xl,,cqa,16,multiple_choice_prompt,,,,0,3,100,,0.7500
gpt-3.5-turbo-0301,flan-t5-xl,,siqa,16,process_of_elimination(mcp),,,,0,0,100,,0.6300
gpt-3.5-turbo-0301,flan-t5-xl,,siqa,16,process_of_elimination(mcp),,,,0,3,100,,0.4700
gpt-3.5-turbo-0301,flan-t5-xl,,siqa,16,multiple_choice_prompt,,,,0,0,100,,0.5800
gpt-3.5-turbo-0301,flan-t5-xl,,siqa,16,multiple_choice_prompt,,,,0,3,100,,0.7400
gpt-3.5-turbo-0301,flan-t5-xl,,cqa,16,process_of_elimination(mcp),,,,1,0,100,,0.7500
gpt-3.5-turbo-0301,flan-t5-xl,,cqa,16,process_of_elimination(mcp),,,,1,3,100,,0.7400
gpt-3.5-turbo-0301,flan-t5-xl,,cqa,16,multiple_choice_prompt,,,,1,0,100,,0.7500
gpt-3.5-turbo-0301,flan-t5-xl,,cqa,16,multiple_choice_prompt,,,,1,3,100,,0.8700
gpt-3.5-turbo-0301,flan-t5-xl,,siqa,16,process_of_elimination(mcp),,,,1,0,100,,0.6300
gpt-3.5-turbo-0301,flan-t5-xl,,siqa,16,process_of_elimination(mcp),,,,1,3,100,,0.5700
gpt-3.5-turbo-0301,flan-t5-xl,,siqa,16,multiple_choice_prompt,,,,1,0,100,,0.5800
gpt-3.5-turbo-0301,flan-t5-xl,,siqa,16,multiple_choice_prompt,,,,1,3,100,,0.7000
gpt-3.5-turbo-0301,flan-t5-xl,,cqa,16,process_of_elimination(mcp),,,,2,0,100,,0.7500
gpt-3.5-turbo-0301,flan-t5-xl,,cqa,16,process_of_elimination(mcp),,,,2,3,100,,0.7200
gpt-3.5-turbo-0301,flan-t5-xl,,cqa,16,multiple_choice_prompt,,,,2,0,100,,0.7600
gpt-3.5-turbo-0301,flan-t5-xl,,cqa,16,multiple_choice_prompt,,,,2,3,100,,0.8200
gpt-3.5-turbo-0301,flan-t5-xl,,siqa,16,process_of_elimination(mcp),,,,2,0,100,,0.6700
gpt-3.5-turbo-0301,flan-t5-xl,,siqa,16,process_of_elimination(mcp),,,,2,3,100,,0.5700
gpt-3.5-turbo-0301,flan-t5-xl,,siqa,16,multiple_choice_prompt,,,,2,0,100,,0.6200
gpt-3.5-turbo-0301,flan-t5-xl,,siqa,16,multiple_choice_prompt,,,,2,3,100,,0.7500
