,checkpoint,dataset,method,n_shot,accuracy
80,flan-t5-xl,anli_r1,language_modeling,0,0.44
81,flan-t5-xl,anli_r1,average_language_modeling,0,0.38
82,flan-t5-xl,anli_r2,language_modeling,0,0.29
83,flan-t5-xl,anli_r2,average_language_modeling,0,0.41
84,flan-t5-xl,anli_r3,language_modeling,0,0.35
85,flan-t5-xl,anli_r3,average_language_modeling,0,0.29
104,flan-t5-xl,anli_r1,language_modeling,0,0.43
105,flan-t5-xl,anli_r1,average_language_modeling,0,0.43
106,flan-t5-xl,anli_r2,language_modeling,0,0.37
107,flan-t5-xl,anli_r2,average_language_modeling,0,0.27
108,flan-t5-xl,anli_r3,language_modeling,0,0.29
109,flan-t5-xl,anli_r3,average_language_modeling,0,0.4
128,flan-t5-xl,anli_r1,language_modeling,0,0.46
129,flan-t5-xl,anli_r1,average_language_modeling,0,0.35
130,flan-t5-xl,anli_r2,language_modeling,0,0.38
131,flan-t5-xl,anli_r2,average_language_modeling,0,0.42
132,flan-t5-xl,anli_r3,language_modeling,0,0.36
133,flan-t5-xl,anli_r3,average_language_modeling,0,0.28
152,flan-t5-xl,anli_r1,language_modeling,0,0.43
153,flan-t5-xl,anli_r1,average_language_modeling,0,0.36
154,flan-t5-xl,anli_r2,language_modeling,0,0.37
155,flan-t5-xl,anli_r2,average_language_modeling,0,0.3
156,flan-t5-xl,anli_r3,language_modeling,0,0.38
157,flan-t5-xl,anli_r3,average_language_modeling,0,0.3
176,flan-t5-xl,anli_r1,language_modeling,0,0.49
177,flan-t5-xl,anli_r1,average_language_modeling,0,0.32
178,flan-t5-xl,anli_r2,language_modeling,0,0.47
179,flan-t5-xl,anli_r2,average_language_modeling,0,0.28
180,flan-t5-xl,anli_r3,language_modeling,0,0.39
181,flan-t5-xl,anli_r3,average_language_modeling,0,0.46
231,flan-t5-xl,anli_r1,multiple_choice_prompt,0,0.71
232,flan-t5-xl,anli_r2,multiple_choice_prompt,0,0.59
233,flan-t5-xl,anli_r3,multiple_choice_prompt,0,0.54
234,flan-t5-xl,anli_r1,multiple_choice_prompt,0,0.76
235,flan-t5-xl,anli_r2,multiple_choice_prompt,0,0.48
236,flan-t5-xl,anli_r3,multiple_choice_prompt,0,0.62
237,flan-t5-xl,anli_r1,multiple_choice_prompt,0,0.7
238,flan-t5-xl,anli_r2,multiple_choice_prompt,0,0.6
239,flan-t5-xl,anli_r3,multiple_choice_prompt,0,0.55
240,flan-t5-xl,anli_r1,multiple_choice_prompt,0,0.69
241,flan-t5-xl,anli_r2,multiple_choice_prompt,0,0.46
242,flan-t5-xl,anli_r3,multiple_choice_prompt,0,0.43
243,flan-t5-xl,anli_r1,multiple_choice_prompt,0,0.7
244,flan-t5-xl,anli_r2,multiple_choice_prompt,0,0.54
245,flan-t5-xl,anli_r3,multiple_choice_prompt,0,0.62
217,flan-t5-xl,anli_r1,process_of_elimination,0,0.66
218,flan-t5-xl,anli_r2,process_of_elimination,0,0.55
219,flan-t5-xl,anli_r3,process_of_elimination,0,0.49
220,flan-t5-xl,anli_r1,process_of_elimination,0,0.75
221,flan-t5-xl,anli_r2,process_of_elimination,0,0.43
222,flan-t5-xl,anli_r3,process_of_elimination,0,0.53
223,flan-t5-xl,anli_r1,process_of_elimination,0,0.66
224,flan-t5-xl,anli_r2,process_of_elimination,0,0.57
225,flan-t5-xl,anli_r3,process_of_elimination,0,0.47
226,flan-t5-xl,anli_r1,process_of_elimination,0,0.69
227,flan-t5-xl,anli_r2,process_of_elimination,0,0.45
228,flan-t5-xl,anli_r3,process_of_elimination,0,0.42
229,flan-t5-xl,anli_r1,process_of_elimination,0,0.65
230,flan-t5-xl,anli_r2,process_of_elimination,0,0.51
231,flan-t5-xl,anli_r3,process_of_elimination,0,0.57
40,flan-t5-xl,anli_r1,channel,0,0.31
41,flan-t5-xl,anli_r2,channel,0,0.43
42,flan-t5-xl,anli_r3,channel,0,0.3
52,flan-t5-xl,anli_r1,channel,0,0.36
53,flan-t5-xl,anli_r2,channel,0,0.29
54,flan-t5-xl,anli_r3,channel,0,0.43
64,flan-t5-xl,anli_r1,channel,0,0.38
65,flan-t5-xl,anli_r2,channel,0,0.39
66,flan-t5-xl,anli_r3,channel,0,0.29
76,flan-t5-xl,anli_r1,channel,0,0.35
77,flan-t5-xl,anli_r2,channel,0,0.31
78,flan-t5-xl,anli_r3,channel,0,0.29
88,flan-t5-xl,anli_r1,channel,0,0.3
89,flan-t5-xl,anli_r2,channel,0,0.29
90,flan-t5-xl,anli_r3,channel,0,0.43
40,flan-t5-xl,anli_r1,calibration,0,0.41
41,flan-t5-xl,anli_r2,calibration,0,0.34
42,flan-t5-xl,anli_r3,calibration,0,0.4
52,flan-t5-xl,anli_r1,calibration,0,0.4
53,flan-t5-xl,anli_r2,calibration,0,0.37
54,flan-t5-xl,anli_r3,calibration,0,0.31
64,flan-t5-xl,anli_r1,calibration,0,0.44
65,flan-t5-xl,anli_r2,calibration,0,0.4
66,flan-t5-xl,anli_r3,calibration,0,0.36
76,flan-t5-xl,anli_r1,calibration,0,0.38
77,flan-t5-xl,anli_r2,calibration,0,0.42
78,flan-t5-xl,anli_r3,calibration,0,0.34
88,flan-t5-xl,anli_r1,calibration,0,0.44
89,flan-t5-xl,anli_r2,calibration,0,0.47
90,flan-t5-xl,anli_r3,calibration,0,0.41
