model_family,checkpoint,loading_precision,dataset,batch_size,method,seed,n_shot,sample,accuracy
FLAN-T5,google/flan-t5-xl,FP16,cqa,16,iterative_process_of_elimination,0,0,100,0.8700
FLAN-T5,google/flan-t5-xl,FP16,cqa,16,iterative_process_of_elimination,0,0,100,0.8700
FLAN-T5,google/flan-t5-xl,FP16,anli,16,iterative_process_of_elimination,0,0,100,0.5700
FLAN-T5,google/flan-t5-xl,FP16,anli,16,iterative_process_of_elimination,1,0,100,0.5500
FLAN-T5,google/flan-t5-xl,FP16,anli,16,iterative_process_of_elimination,0,0,100,0.5700
FLAN-T5,google/flan-t5-xl,FP16,cqa,16,iterative_process_of_elimination,0,0,100,0.8700
FLAN-T5,google/flan-t5-xl,FP16,siqa,16,iterative_process_of_elimination,0,0,100,0.7600
FLAN-T5,google/flan-t5-xl,FP16,logical_deduction_five_objects,16,iterative_process_of_elimination,0,0,100,0.5800
FLAN-T5,google/flan-t5-xl,FP16,disambiguation_qa,16,iterative_process_of_elimination,0,0,100,0.6700
FLAN-T5,google/flan-t5-xl,FP16,conceptual_combinations,16,iterative_process_of_elimination,0,0,100,0.7500
FLAN-T5,google/flan-t5-xl,FP16,strange_stories,16,iterative_process_of_elimination,0,0,100,0.7700
FLAN-T5,google/flan-t5-xl,FP16,symbol_interpretation,16,iterative_process_of_elimination,0,0,100,0.1700
FLAN-T5,google/flan-t5-xl,FP16,anli,16,iterative_process_of_elimination,1,0,100,0.5500
FLAN-T5,google/flan-t5-xl,FP16,cqa,16,iterative_process_of_elimination,1,0,100,0.8800
FLAN-T5,google/flan-t5-xl,FP16,siqa,16,iterative_process_of_elimination,1,0,100,0.8000
FLAN-T5,google/flan-t5-xl,FP16,logical_deduction_five_objects,16,iterative_process_of_elimination,1,0,100,0.5300
FLAN-T5,google/flan-t5-xl,FP16,disambiguation_qa,16,iterative_process_of_elimination,1,0,100,0.6900
FLAN-T5,google/flan-t5-xl,FP16,conceptual_combinations,16,iterative_process_of_elimination,1,0,100,0.7400
FLAN-T5,google/flan-t5-xl,FP16,strange_stories,16,iterative_process_of_elimination,1,0,100,0.7500
FLAN-T5,google/flan-t5-xl,FP16,symbol_interpretation,16,iterative_process_of_elimination,1,0,100,0.2600
FLAN-T5,google/flan-t5-xl,FP16,anli,16,iterative_process_of_elimination,2,0,100,0.5500
FLAN-T5,google/flan-t5-xl,FP16,cqa,16,iterative_process_of_elimination,2,0,100,0.8500
FLAN-T5,google/flan-t5-xl,FP16,siqa,16,iterative_process_of_elimination,2,0,100,0.8200
FLAN-T5,google/flan-t5-xl,FP16,logical_deduction_five_objects,16,iterative_process_of_elimination,2,0,100,0.5400
FLAN-T5,google/flan-t5-xl,FP16,disambiguation_qa,16,iterative_process_of_elimination,2,0,100,0.6600
FLAN-T5,google/flan-t5-xl,FP16,conceptual_combinations,16,iterative_process_of_elimination,2,0,100,0.7400
FLAN-T5,google/flan-t5-xl,FP16,strange_stories,16,iterative_process_of_elimination,2,0,100,0.7700
FLAN-T5,google/flan-t5-xl,FP16,symbol_interpretation,16,iterative_process_of_elimination,2,0,100,0.2500
FLAN-T5,google/flan-t5-xl,FP16,anli,16,iterative_process_of_elimination,3,0,100,0.5600
FLAN-T5,google/flan-t5-xl,FP16,cqa,16,iterative_process_of_elimination,3,0,100,0.9100
FLAN-T5,google/flan-t5-xl,FP16,siqa,16,iterative_process_of_elimination,3,0,100,0.9000
FLAN-T5,google/flan-t5-xl,FP16,logical_deduction_five_objects,16,iterative_process_of_elimination,3,0,100,0.5500
FLAN-T5,google/flan-t5-xl,FP16,disambiguation_qa,16,iterative_process_of_elimination,3,0,100,0.7200
FLAN-T5,google/flan-t5-xl,FP16,conceptual_combinations,16,iterative_process_of_elimination,3,0,100,0.7300
FLAN-T5,google/flan-t5-xl,FP16,strange_stories,16,iterative_process_of_elimination,3,0,100,0.7700
FLAN-T5,google/flan-t5-xl,FP16,symbol_interpretation,16,iterative_process_of_elimination,3,0,100,0.2500
FLAN-T5,google/flan-t5-xl,FP16,anli,16,iterative_process_of_elimination,4,0,100,0.5500
FLAN-T5,google/flan-t5-xl,FP16,cqa,16,iterative_process_of_elimination,4,0,100,0.9100
FLAN-T5,google/flan-t5-xl,FP16,siqa,16,iterative_process_of_elimination,4,0,100,0.8200
FLAN-T5,google/flan-t5-xl,FP16,logical_deduction_five_objects,16,iterative_process_of_elimination,4,0,100,0.6600
FLAN-T5,google/flan-t5-xl,FP16,disambiguation_qa,16,iterative_process_of_elimination,4,0,100,0.6500
FLAN-T5,google/flan-t5-xl,FP16,conceptual_combinations,16,iterative_process_of_elimination,4,0,100,0.7500
FLAN-T5,google/flan-t5-xl,FP16,strange_stories,16,iterative_process_of_elimination,4,0,100,0.7700
FLAN-T5,google/flan-t5-xl,FP16,symbol_interpretation,16,iterative_process_of_elimination,4,0,100,0.2600
