model_family,checkpoint,loading_precision,dataset,batch_size,method,seed,n_shot,sample,accuracy
FLAN-T5,google/flan-t5-xl,FP16,code_line_description,16,multiple_choice_prompt,0,0,100,0.6724
FLAN-T5,google/flan-t5-xl,FP16,reasoning_about_colored_objects,16,multiple_choice_prompt,0,0,100,0.5700
FLAN-T5,google/flan-t5-xl,FP16,crass_ai,16,multiple_choice_prompt,0,0,100,0.8409
FLAN-T5,google/flan-t5-xl,FP16,evaluating_information_essentiality,16,multiple_choice_prompt,0,0,100,0.2500
FLAN-T5,google/flan-t5-xl,FP16,identify_math_theorems,16,multiple_choice_prompt,0,0,100,0.3396
FLAN-T5,google/flan-t5-xl,FP16,identify_odd_metaphor,16,multiple_choice_prompt,0,0,100,0.5625
FLAN-T5,google/flan-t5-xl,FP16,logical_args,16,multiple_choice_prompt,0,0,100,0.5000
FLAN-T5,google/flan-t5-xl,FP16,riddle_sense,16,multiple_choice_prompt,0,0,100,0.5510
FLAN-T5,google/flan-t5-xl,FP16,code_line_description,16,multiple_choice_prompt,1,0,100,0.6724
FLAN-T5,google/flan-t5-xl,FP16,reasoning_about_colored_objects,16,multiple_choice_prompt,1,0,100,0.6100
FLAN-T5,google/flan-t5-xl,FP16,crass_ai,16,multiple_choice_prompt,1,0,100,0.8409
FLAN-T5,google/flan-t5-xl,FP16,evaluating_information_essentiality,16,multiple_choice_prompt,1,0,100,0.2500
FLAN-T5,google/flan-t5-xl,FP16,identify_math_theorems,16,multiple_choice_prompt,1,0,100,0.3396
FLAN-T5,google/flan-t5-xl,FP16,identify_odd_metaphor,16,multiple_choice_prompt,1,0,100,0.5625
FLAN-T5,google/flan-t5-xl,FP16,logical_args,16,multiple_choice_prompt,1,0,100,0.5000
FLAN-T5,google/flan-t5-xl,FP16,riddle_sense,16,multiple_choice_prompt,1,0,100,0.5510
FLAN-T5,google/flan-t5-xl,FP16,code_line_description,16,multiple_choice_prompt,2,0,100,0.6724
FLAN-T5,google/flan-t5-xl,FP16,reasoning_about_colored_objects,16,multiple_choice_prompt,2,0,100,0.4900
FLAN-T5,google/flan-t5-xl,FP16,crass_ai,16,multiple_choice_prompt,2,0,100,0.8409
FLAN-T5,google/flan-t5-xl,FP16,evaluating_information_essentiality,16,multiple_choice_prompt,2,0,100,0.2500
FLAN-T5,google/flan-t5-xl,FP16,identify_math_theorems,16,multiple_choice_prompt,2,0,100,0.3396
FLAN-T5,google/flan-t5-xl,FP16,identify_odd_metaphor,16,multiple_choice_prompt,2,0,100,0.5625
FLAN-T5,google/flan-t5-xl,FP16,logical_args,16,multiple_choice_prompt,2,0,100,0.5000
FLAN-T5,google/flan-t5-xl,FP16,riddle_sense,16,multiple_choice_prompt,2,0,100,0.5510
FLAN-T5,google/flan-t5-xl,FP16,code_line_description,16,multiple_choice_prompt,3,0,100,0.6724
FLAN-T5,google/flan-t5-xl,FP16,reasoning_about_colored_objects,16,multiple_choice_prompt,3,0,100,0.5400
FLAN-T5,google/flan-t5-xl,FP16,crass_ai,16,multiple_choice_prompt,3,0,100,0.8409
FLAN-T5,google/flan-t5-xl,FP16,evaluating_information_essentiality,16,multiple_choice_prompt,3,0,100,0.2500
FLAN-T5,google/flan-t5-xl,FP16,identify_math_theorems,16,multiple_choice_prompt,3,0,100,0.3396
FLAN-T5,google/flan-t5-xl,FP16,identify_odd_metaphor,16,multiple_choice_prompt,3,0,100,0.5625
FLAN-T5,google/flan-t5-xl,FP16,logical_args,16,multiple_choice_prompt,3,0,100,0.5000
FLAN-T5,google/flan-t5-xl,FP16,riddle_sense,16,multiple_choice_prompt,3,0,100,0.5510
FLAN-T5,google/flan-t5-xl,FP16,code_line_description,16,multiple_choice_prompt,4,0,100,0.6724
FLAN-T5,google/flan-t5-xl,FP16,reasoning_about_colored_objects,16,multiple_choice_prompt,4,0,100,0.4800
FLAN-T5,google/flan-t5-xl,FP16,crass_ai,16,multiple_choice_prompt,4,0,100,0.8409
FLAN-T5,google/flan-t5-xl,FP16,evaluating_information_essentiality,16,multiple_choice_prompt,4,0,100,0.2500
FLAN-T5,google/flan-t5-xl,FP16,identify_math_theorems,16,multiple_choice_prompt,4,0,100,0.3396
FLAN-T5,google/flan-t5-xl,FP16,identify_odd_metaphor,16,multiple_choice_prompt,4,0,100,0.5625
FLAN-T5,google/flan-t5-xl,FP16,logical_args,16,multiple_choice_prompt,4,0,100,0.5000
FLAN-T5,google/flan-t5-xl,FP16,riddle_sense,16,multiple_choice_prompt,4,0,100,0.5510
