,dataset,scoring_method,mask_strategy,mask_accuracy,accuracy,acc_diff
40,anli,multiple_choice_prompt,below_average,0.75,0.56,0.18999999999999995
41,cqa,multiple_choice_prompt,below_average,0.98,0.89,0.08999999999999997
42,siqa,multiple_choice_prompt,below_average,0.89,0.74,0.15000000000000002
43,logical_deduction_five_objects,multiple_choice_prompt,below_average,0.65,0.51,0.14
44,disambiguation_qa,multiple_choice_prompt,below_average,0.68,0.66,0.020000000000000018
45,conceptual_combinations,multiple_choice_prompt,below_average,0.84,0.73,0.10999999999999999
46,strange_stories,multiple_choice_prompt,below_average,0.9,0.77,0.13
47,symbol_interpretation,multiple_choice_prompt,below_average,0.48,0.19,0.29
48,anli,multiple_choice_prompt,below_average,0.72,0.53,0.18999999999999995
49,cqa,multiple_choice_prompt,below_average,0.98,0.89,0.08999999999999997
50,siqa,multiple_choice_prompt,below_average,0.88,0.79,0.08999999999999997
51,logical_deduction_five_objects,multiple_choice_prompt,below_average,0.7,0.46,0.23999999999999994
52,disambiguation_qa,multiple_choice_prompt,below_average,0.7,0.69,0.010000000000000009
53,conceptual_combinations,multiple_choice_prompt,below_average,0.82,0.72,0.09999999999999998
54,strange_stories,multiple_choice_prompt,below_average,0.88,0.75,0.13
55,symbol_interpretation,multiple_choice_prompt,below_average,0.56,0.3,0.26000000000000006
56,anli,multiple_choice_prompt,below_average,0.73,0.56,0.16999999999999993
57,cqa,multiple_choice_prompt,below_average,0.95,0.86,0.08999999999999997
58,siqa,multiple_choice_prompt,below_average,0.93,0.84,0.09000000000000008
59,logical_deduction_five_objects,multiple_choice_prompt,below_average,0.73,0.53,0.19999999999999996
60,disambiguation_qa,multiple_choice_prompt,below_average,0.68,0.66,0.020000000000000018
61,conceptual_combinations,multiple_choice_prompt,below_average,0.83,0.72,0.10999999999999999
62,strange_stories,multiple_choice_prompt,below_average,0.89,0.77,0.12
63,symbol_interpretation,multiple_choice_prompt,below_average,0.51,0.25,0.26
64,anli,multiple_choice_prompt,below_average,0.7,0.58,0.12
65,cqa,multiple_choice_prompt,below_average,0.99,0.92,0.06999999999999995
66,siqa,multiple_choice_prompt,below_average,0.92,0.92,0.0
67,logical_deduction_five_objects,multiple_choice_prompt,below_average,0.71,0.53,0.17999999999999994
68,disambiguation_qa,multiple_choice_prompt,below_average,0.73,0.71,0.020000000000000018
69,conceptual_combinations,multiple_choice_prompt,below_average,0.82,0.71,0.10999999999999999
70,strange_stories,multiple_choice_prompt,below_average,0.9,0.77,0.13
71,symbol_interpretation,multiple_choice_prompt,below_average,0.55,0.25,0.30000000000000004
72,anli,multiple_choice_prompt,below_average,0.64,0.52,0.12
73,cqa,multiple_choice_prompt,below_average,0.99,0.9,0.08999999999999997
74,siqa,multiple_choice_prompt,below_average,0.89,0.81,0.07999999999999996
75,logical_deduction_five_objects,multiple_choice_prompt,below_average,0.77,0.65,0.12
76,disambiguation_qa,multiple_choice_prompt,below_average,0.69,0.65,0.039999999999999925
77,conceptual_combinations,multiple_choice_prompt,below_average,0.83,0.73,0.09999999999999998
78,strange_stories,multiple_choice_prompt,below_average,0.88,0.77,0.10999999999999999
79,symbol_interpretation,multiple_choice_prompt,below_average,0.51,0.27,0.24
311,cqa,multiple_choice_prompt,below_average,0.59,0.14,0.44999999999999996
376,cqa,channel,below_average,0.79,0.71,0.08000000000000007
377,cqa,channel,lowest,0.91,0.83,0.08000000000000007
378,cqa,calibration,below_average,0.93,0.46,0.47000000000000003
379,cqa,calibration,lowest,1.0,0.29,0.71
380,cqa,language_modeling,below_average,0.85,0.79,0.05999999999999994
381,cqa,language_modeling,lowest,0.96,0.86,0.09999999999999998
383,cqa,multiple_choice_prompt,lowest,0.99,0.9,0.08999999999999997
384,cqa,channel,below_average,0.78,0.73,0.050000000000000044
385,cqa,channel,lowest,0.93,0.85,0.08000000000000007
386,cqa,calibration,below_average,0.91,0.44,0.47000000000000003
387,cqa,calibration,lowest,1.0,0.3,0.7
388,cqa,language_modeling,below_average,0.81,0.74,0.07000000000000006
389,cqa,language_modeling,lowest,0.93,0.85,0.08000000000000007
391,cqa,multiple_choice_prompt,lowest,1.0,0.89,0.10999999999999999
392,cqa,channel,below_average,0.76,0.7,0.06000000000000005
393,cqa,channel,lowest,0.83,0.76,0.06999999999999995
394,cqa,calibration,below_average,0.83,0.38,0.44999999999999996
395,cqa,calibration,lowest,0.98,0.24,0.74
396,cqa,language_modeling,below_average,0.85,0.76,0.08999999999999997
397,cqa,language_modeling,lowest,0.97,0.85,0.12
399,cqa,multiple_choice_prompt,lowest,1.0,0.85,0.15000000000000002
400,cqa,channel,below_average,0.79,0.72,0.07000000000000006
401,cqa,channel,lowest,0.91,0.84,0.07000000000000006
402,cqa,calibration,below_average,0.95,0.47,0.48
403,cqa,calibration,lowest,1.0,0.26,0.74
404,cqa,language_modeling,below_average,0.88,0.81,0.06999999999999995
