,checkpoint,dataset,method,n_shot,accuracy
0,flan-t5-xl,anli,language_modeling,0,0.41
1,flan-t5-xl,anli,average_language_modeling,0,0.34
2,flan-t5-xl,cqa,language_modeling,0,0.65
3,flan-t5-xl,cqa,average_language_modeling,0,0.53
4,flan-t5-xl,siqa,language_modeling,0,0.56
5,flan-t5-xl,siqa,average_language_modeling,0,0.61
6,flan-t5-xl,logical_deduction_five_objects,language_modeling,0,0.47
7,flan-t5-xl,logical_deduction_five_objects,average_language_modeling,0,0.42
8,flan-t5-xl,disambiguation_qa,language_modeling,0,0.47
9,flan-t5-xl,disambiguation_qa,average_language_modeling,0,0.5
10,flan-t5-xl,conceptual_combinations,language_modeling,0,0.44
11,flan-t5-xl,conceptual_combinations,average_language_modeling,0,0.51
12,flan-t5-xl,strange_stories,language_modeling,0,0.41
13,flan-t5-xl,strange_stories,average_language_modeling,0,0.43
14,flan-t5-xl,symbol_interpretation,language_modeling,0,0.22
15,flan-t5-xl,symbol_interpretation,average_language_modeling,0,0.2
16,flan-t5-xl,anli,language_modeling,0,0.41
17,flan-t5-xl,anli,average_language_modeling,0,0.36
18,flan-t5-xl,cqa,language_modeling,0,0.67
19,flan-t5-xl,cqa,average_language_modeling,0,0.53
20,flan-t5-xl,siqa,language_modeling,0,0.52
21,flan-t5-xl,siqa,average_language_modeling,0,0.62
22,flan-t5-xl,logical_deduction_five_objects,language_modeling,0,0.51
23,flan-t5-xl,logical_deduction_five_objects,average_language_modeling,0,0.48
24,flan-t5-xl,disambiguation_qa,language_modeling,0,0.38
25,flan-t5-xl,disambiguation_qa,average_language_modeling,0,0.52
26,flan-t5-xl,conceptual_combinations,language_modeling,0,0.45
27,flan-t5-xl,conceptual_combinations,average_language_modeling,0,0.51
28,flan-t5-xl,strange_stories,language_modeling,0,0.37
29,flan-t5-xl,strange_stories,average_language_modeling,0,0.39
30,flan-t5-xl,symbol_interpretation,language_modeling,0,0.26
31,flan-t5-xl,symbol_interpretation,average_language_modeling,0,0.14
32,flan-t5-xl,anli,language_modeling,0,0.4
33,flan-t5-xl,anli,average_language_modeling,0,0.41
34,flan-t5-xl,cqa,language_modeling,0,0.56
35,flan-t5-xl,cqa,average_language_modeling,0,0.54
36,flan-t5-xl,siqa,language_modeling,0,0.63
37,flan-t5-xl,siqa,average_language_modeling,0,0.64
38,flan-t5-xl,logical_deduction_five_objects,language_modeling,0,0.51
39,flan-t5-xl,logical_deduction_five_objects,average_language_modeling,0,0.49
40,flan-t5-xl,disambiguation_qa,language_modeling,0,0.53
41,flan-t5-xl,disambiguation_qa,average_language_modeling,0,0.52
