model_family,checkpoint,loading_precision,dataset,batch_size,method,scoring_method,prompting_method,mask_strategy,seed,n_shot,sample,mask_accuracy,accuracy
gpt-3.5-turbo-0613,flan-t5-xl,,code_line_description,16,multiple_choice_prompt,,,,0,0,100,,0.9310
gpt-3.5-turbo-0613,flan-t5-xl,,code_line_description,16,process_of_elimination(mcp),,,,0,0,100,,0.9138
gpt-3.5-turbo-0613,flan-t5-xl,,reasoning_about_colored_objects,16,multiple_choice_prompt,,,,0,0,100,,0.0500
gpt-3.5-turbo-0613,flan-t5-xl,,reasoning_about_colored_objects,16,process_of_elimination(mcp),,,,0,0,100,,0.5700
gpt-3.5-turbo-0613,flan-t5-xl,,crass_ai,16,multiple_choice_prompt,,,,0,0,100,,0.8182
gpt-3.5-turbo-0613,flan-t5-xl,,crass_ai,16,process_of_elimination(mcp),,,,0,0,100,,0.7727
gpt-3.5-turbo-0613,flan-t5-xl,,evaluating_information_essentiality,16,multiple_choice_prompt,,,,0,0,100,,0.3824
gpt-3.5-turbo-0613,flan-t5-xl,,evaluating_information_essentiality,16,process_of_elimination(mcp),,,,0,0,100,,0.2941
gpt-3.5-turbo-0613,flan-t5-xl,,identify_math_theorems,16,multiple_choice_prompt,,,,0,0,100,,0.3396
gpt-3.5-turbo-0613,flan-t5-xl,,identify_math_theorems,16,process_of_elimination(mcp),,,,0,0,100,,0.5283
gpt-3.5-turbo-0613,flan-t5-xl,,identify_odd_metaphor,16,multiple_choice_prompt,,,,0,0,100,,0.6562
gpt-3.5-turbo-0613,flan-t5-xl,,identify_odd_metaphor,16,process_of_elimination(mcp),,,,0,0,100,,0.4688
gpt-3.5-turbo-0613,flan-t5-xl,,logical_args,16,multiple_choice_prompt,,,,0,0,100,,0.5000
gpt-3.5-turbo-0613,flan-t5-xl,,logical_args,16,process_of_elimination(mcp),,,,0,0,100,,0.5625
gpt-3.5-turbo-0613,flan-t5-xl,,riddle_sense,16,multiple_choice_prompt,,,,0,0,100,,0.6939
gpt-3.5-turbo-0613,flan-t5-xl,,riddle_sense,16,process_of_elimination(mcp),,,,0,0,100,,0.4898
gpt-3.5-turbo-0613,flan-t5-xl,,code_line_description,16,multiple_choice_prompt,,,,1,0,100,,0.9138
gpt-3.5-turbo-0613,flan-t5-xl,,code_line_description,16,process_of_elimination(mcp),,,,1,0,100,,0.9138
gpt-3.5-turbo-0613,flan-t5-xl,,reasoning_about_colored_objects,16,multiple_choice_prompt,,,,1,0,100,,0.0400
gpt-3.5-turbo-0613,flan-t5-xl,,reasoning_about_colored_objects,16,process_of_elimination(mcp),,,,1,0,100,,0.4600
gpt-3.5-turbo-0613,flan-t5-xl,,crass_ai,16,multiple_choice_prompt,,,,1,0,100,,0.8182
gpt-3.5-turbo-0613,flan-t5-xl,,crass_ai,16,process_of_elimination(mcp),,,,1,0,100,,0.7727
gpt-3.5-turbo-0613,flan-t5-xl,,evaluating_information_essentiality,16,multiple_choice_prompt,,,,1,0,100,,0.3676
gpt-3.5-turbo-0613,flan-t5-xl,,evaluating_information_essentiality,16,process_of_elimination(mcp),,,,1,0,100,,0.2941
gpt-3.5-turbo-0613,flan-t5-xl,,identify_math_theorems,16,multiple_choice_prompt,,,,1,0,100,,0.3396
gpt-3.5-turbo-0613,flan-t5-xl,,identify_math_theorems,16,process_of_elimination(mcp),,,,1,0,100,,0.4906
gpt-3.5-turbo-0613,flan-t5-xl,,identify_odd_metaphor,16,multiple_choice_prompt,,,,1,0,100,,0.6562
gpt-3.5-turbo-0613,flan-t5-xl,,identify_odd_metaphor,16,process_of_elimination(mcp),,,,1,0,100,,0.4688
gpt-3.5-turbo-0613,flan-t5-xl,,logical_args,16,multiple_choice_prompt,,,,1,0,100,,0.5000
gpt-3.5-turbo-0613,flan-t5-xl,,logical_args,16,process_of_elimination(mcp),,,,1,0,100,,0.5625
gpt-3.5-turbo-0613,flan-t5-xl,,riddle_sense,16,multiple_choice_prompt,,,,1,0,100,,0.6939
gpt-3.5-turbo-0613,flan-t5-xl,,riddle_sense,16,process_of_elimination(mcp),,,,1,0,100,,0.4694
gpt-3.5-turbo-0613,flan-t5-xl,,code_line_description,16,multiple_choice_prompt,,,,2,0,100,,0.9310
gpt-3.5-turbo-0613,flan-t5-xl,,code_line_description,16,process_of_elimination(mcp),,,,2,0,100,,0.9138
gpt-3.5-turbo-0613,flan-t5-xl,,reasoning_about_colored_objects,16,multiple_choice_prompt,,,,2,0,100,,0.0700
gpt-3.5-turbo-0613,flan-t5-xl,,reasoning_about_colored_objects,16,process_of_elimination(mcp),,,,2,0,100,,0.5100
gpt-3.5-turbo-0613,flan-t5-xl,,crass_ai,16,multiple_choice_prompt,,,,2,0,100,,0.8182
gpt-3.5-turbo-0613,flan-t5-xl,,crass_ai,16,process_of_elimination(mcp),,,,2,0,100,,0.7727
gpt-3.5-turbo-0613,flan-t5-xl,,evaluating_information_essentiality,16,multiple_choice_prompt,,,,2,0,100,,0.3824
gpt-3.5-turbo-0613,flan-t5-xl,,evaluating_information_essentiality,16,process_of_elimination(mcp),,,,2,0,100,,0.2794
gpt-3.5-turbo-0613,flan-t5-xl,,identify_math_theorems,16,multiple_choice_prompt,,,,2,0,100,,0.3396
gpt-3.5-turbo-0613,flan-t5-xl,,identify_math_theorems,16,process_of_elimination(mcp),,,,2,0,100,,0.4906
gpt-3.5-turbo-0613,flan-t5-xl,,identify_odd_metaphor,16,multiple_choice_prompt,,,,2,0,100,,0.6562
gpt-3.5-turbo-0613,flan-t5-xl,,identify_odd_metaphor,16,process_of_elimination(mcp),,,,2,0,100,,0.4688
gpt-3.5-turbo-0613,flan-t5-xl,,logical_args,16,multiple_choice_prompt,,,,2,0,100,,0.5000
gpt-3.5-turbo-0613,flan-t5-xl,,logical_args,16,process_of_elimination(mcp),,,,2,0,100,,0.5625
gpt-3.5-turbo-0613,flan-t5-xl,,riddle_sense,16,multiple_choice_prompt,,,,2,0,100,,0.6939
gpt-3.5-turbo-0613,flan-t5-xl,,riddle_sense,16,process_of_elimination(mcp),,,,2,0,100,,0.4898
gpt-3.5-turbo-0613,flan-t5-xl,,code_line_description,16,multiple_choice_prompt,,,,3,0,100,,0.9310
gpt-3.5-turbo-0613,flan-t5-xl,,code_line_description,16,process_of_elimination(mcp),,,,3,0,100,,0.9138
gpt-3.5-turbo-0613,flan-t5-xl,,reasoning_about_colored_objects,16,multiple_choice_prompt,,,,3,0,100,,0.0400
gpt-3.5-turbo-0613,flan-t5-xl,,reasoning_about_colored_objects,16,process_of_elimination(mcp),,,,3,0,100,,0.5300
gpt-3.5-turbo-0613,flan-t5-xl,,crass_ai,16,multiple_choice_prompt,,,,3,0,100,,0.8182
gpt-3.5-turbo-0613,flan-t5-xl,,crass_ai,16,process_of_elimination(mcp),,,,3,0,100,,0.7727
gpt-3.5-turbo-0613,flan-t5-xl,,evaluating_information_essentiality,16,multiple_choice_prompt,,,,3,0,100,,0.3824
gpt-3.5-turbo-0613,flan-t5-xl,,evaluating_information_essentiality,16,process_of_elimination(mcp),,,,3,0,100,,0.2941
gpt-3.5-turbo-0613,flan-t5-xl,,identify_math_theorems,16,multiple_choice_prompt,,,,3,0,100,,0.3396
gpt-3.5-turbo-0613,flan-t5-xl,,identify_math_theorems,16,process_of_elimination(mcp),,,,3,0,100,,0.4906
gpt-3.5-turbo-0613,flan-t5-xl,,identify_odd_metaphor,16,multiple_choice_prompt,,,,3,0,100,,0.6250
gpt-3.5-turbo-0613,flan-t5-xl,,identify_odd_metaphor,16,process_of_elimination(mcp),,,,3,0,100,,0.4688
gpt-3.5-turbo-0613,flan-t5-xl,,logical_args,16,multiple_choice_prompt,,,,3,0,100,,0.5000
gpt-3.5-turbo-0613,flan-t5-xl,,logical_args,16,process_of_elimination(mcp),,,,3,0,100,,0.5625
gpt-3.5-turbo-0613,flan-t5-xl,,riddle_sense,16,multiple_choice_prompt,,,,3,0,100,,0.6939
gpt-3.5-turbo-0613,flan-t5-xl,,riddle_sense,16,process_of_elimination(mcp),,,,3,0,100,,0.4898
gpt-3.5-turbo-0613,flan-t5-xl,,code_line_description,16,multiple_choice_prompt,,,,4,0,100,,0.9138
gpt-3.5-turbo-0613,flan-t5-xl,,code_line_description,16,process_of_elimination(mcp),,,,4,0,100,,0.9138
gpt-3.5-turbo-0613,flan-t5-xl,,reasoning_about_colored_objects,16,multiple_choice_prompt,,,,4,0,100,,0.0400
gpt-3.5-turbo-0613,flan-t5-xl,,reasoning_about_colored_objects,16,process_of_elimination(mcp),,,,4,0,100,,0.4500
gpt-3.5-turbo-0613,flan-t5-xl,,crass_ai,16,multiple_choice_prompt,,,,4,0,100,,0.8182
gpt-3.5-turbo-0613,flan-t5-xl,,crass_ai,16,process_of_elimination(mcp),,,,4,0,100,,0.7727
gpt-3.5-turbo-0613,flan-t5-xl,,evaluating_information_essentiality,16,multiple_choice_prompt,,,,4,0,100,,0.3676
gpt-3.5-turbo-0613,flan-t5-xl,,evaluating_information_essentiality,16,process_of_elimination(mcp),,,,4,0,100,,0.2794
gpt-3.5-turbo-0613,flan-t5-xl,,identify_math_theorems,16,multiple_choice_prompt,,,,4,0,100,,0.3396
gpt-3.5-turbo-0613,flan-t5-xl,,identify_math_theorems,16,process_of_elimination(mcp),,,,4,0,100,,0.4906
gpt-3.5-turbo-0613,flan-t5-xl,,identify_odd_metaphor,16,multiple_choice_prompt,,,,4,0,100,,0.6562
gpt-3.5-turbo-0613,flan-t5-xl,,identify_odd_metaphor,16,process_of_elimination(mcp),,,,4,0,100,,0.4688
gpt-3.5-turbo-0613,flan-t5-xl,,logical_args,16,multiple_choice_prompt,,,,4,0,100,,0.5000
gpt-3.5-turbo-0613,flan-t5-xl,,logical_args,16,process_of_elimination(mcp),,,,4,0,100,,0.5000
gpt-3.5-turbo-0613,flan-t5-xl,,riddle_sense,16,multiple_choice_prompt,,,,4,0,100,,0.6939
gpt-3.5-turbo-0613,flan-t5-xl,,riddle_sense,16,process_of_elimination(mcp),,,,4,0,100,,0.4898
