,checkpoint,dataset,method,n_shot,accuracy
6,flan-t5-xl,logical_deduction_five_objects,language_modeling,0,0.47
7,flan-t5-xl,logical_deduction_five_objects,average_language_modeling,0,0.42
22,flan-t5-xl,logical_deduction_five_objects,language_modeling,0,0.51
23,flan-t5-xl,logical_deduction_five_objects,average_language_modeling,0,0.48
38,flan-t5-xl,logical_deduction_five_objects,language_modeling,0,0.51
39,flan-t5-xl,logical_deduction_five_objects,average_language_modeling,0,0.49
54,flan-t5-xl,logical_deduction_five_objects,language_modeling,0,0.45
55,flan-t5-xl,logical_deduction_five_objects,average_language_modeling,0,0.4
70,flan-t5-xl,logical_deduction_five_objects,language_modeling,0,0.5
71,flan-t5-xl,logical_deduction_five_objects,average_language_modeling,0,0.5
200,flan-t5-xl,logical_deduction_three_objects,language_modeling,0,0.6
201,flan-t5-xl,logical_deduction_three_objects,average_language_modeling,0,0.58
204,flan-t5-xl,logical_deduction_seven_objects,language_modeling,0,0.49
205,flan-t5-xl,logical_deduction_seven_objects,average_language_modeling,0,0.52
206,flan-t5-xl,logical_deduction_three_objects,language_modeling,0,0.54
207,flan-t5-xl,logical_deduction_three_objects,average_language_modeling,0,0.54
210,flan-t5-xl,logical_deduction_seven_objects,language_modeling,0,0.43
211,flan-t5-xl,logical_deduction_seven_objects,average_language_modeling,0,0.44
212,flan-t5-xl,logical_deduction_three_objects,language_modeling,0,0.56
213,flan-t5-xl,logical_deduction_three_objects,average_language_modeling,0,0.53
216,flan-t5-xl,logical_deduction_seven_objects,language_modeling,0,0.49
217,flan-t5-xl,logical_deduction_seven_objects,average_language_modeling,0,0.52
218,flan-t5-xl,logical_deduction_three_objects,language_modeling,0,0.53
219,flan-t5-xl,logical_deduction_three_objects,average_language_modeling,0,0.55
222,flan-t5-xl,logical_deduction_seven_objects,language_modeling,0,0.46
223,flan-t5-xl,logical_deduction_seven_objects,average_language_modeling,0,0.42
224,flan-t5-xl,logical_deduction_three_objects,language_modeling,0,0.62
225,flan-t5-xl,logical_deduction_three_objects,average_language_modeling,0,0.59
228,flan-t5-xl,logical_deduction_seven_objects,language_modeling,0,0.49
229,flan-t5-xl,logical_deduction_seven_objects,average_language_modeling,0,0.48
3,flan-t5-xl,logical_deduction_five_objects,multiple_choice_prompt,0,0.35
11,flan-t5-xl,logical_deduction_five_objects,multiple_choice_prompt,0,0.39
19,flan-t5-xl,logical_deduction_five_objects,multiple_choice_prompt,0,0.43
27,flan-t5-xl,logical_deduction_five_objects,multiple_choice_prompt,0,0.38
35,flan-t5-xl,logical_deduction_five_objects,multiple_choice_prompt,0,0.44
118,flan-t5-xl,logical_deduction_three_objects,multiple_choice_prompt,0,0.51
120,flan-t5-xl,logical_deduction_seven_objects,multiple_choice_prompt,0,0.47
121,flan-t5-xl,logical_deduction_three_objects,multiple_choice_prompt,0,0.47
123,flan-t5-xl,logical_deduction_seven_objects,multiple_choice_prompt,0,0.38
124,flan-t5-xl,logical_deduction_three_objects,multiple_choice_prompt,0,0.61
126,flan-t5-xl,logical_deduction_seven_objects,multiple_choice_prompt,0,0.48
127,flan-t5-xl,logical_deduction_three_objects,multiple_choice_prompt,0,0.52
129,flan-t5-xl,logical_deduction_seven_objects,multiple_choice_prompt,0,0.55
130,flan-t5-xl,logical_deduction_three_objects,multiple_choice_prompt,0,0.56
132,flan-t5-xl,logical_deduction_seven_objects,multiple_choice_prompt,0,0.38
3,flan-t5-xl,logical_deduction_five_objects,process_of_elimination,0,0.52
11,flan-t5-xl,logical_deduction_five_objects,process_of_elimination,0,0.54
19,flan-t5-xl,logical_deduction_five_objects,process_of_elimination,0,0.55
27,flan-t5-xl,logical_deduction_five_objects,process_of_elimination,0,0.57
35,flan-t5-xl,logical_deduction_five_objects,process_of_elimination,0,0.62
119,flan-t5-xl,logical_deduction_three_objects,process_of_elimination,0,0.71
121,flan-t5-xl,logical_deduction_seven_objects,process_of_elimination,0,0.5
122,flan-t5-xl,logical_deduction_three_objects,process_of_elimination,0,0.63
124,flan-t5-xl,logical_deduction_seven_objects,process_of_elimination,0,0.55
125,flan-t5-xl,logical_deduction_three_objects,process_of_elimination,0,0.74
127,flan-t5-xl,logical_deduction_seven_objects,process_of_elimination,0,0.59
128,flan-t5-xl,logical_deduction_three_objects,process_of_elimination,0,0.71
130,flan-t5-xl,logical_deduction_seven_objects,process_of_elimination,0,0.56
131,flan-t5-xl,logical_deduction_three_objects,process_of_elimination,0,0.72
133,flan-t5-xl,logical_deduction_seven_objects,process_of_elimination,0,0.45
3,flan-t5-xl,logical_deduction_five_objects,channel,0,0.26
