,dataset,method,n_shot,accuracy
0,disambiguation_qa,process_of_elimination(cot),0,0.37
1,disambiguation_qa,process_of_elimination(cot),3,0.61
2,disambiguation_qa,process_of_elimination(mcp),0,0.55
3,disambiguation_qa,process_of_elimination(mcp),3,0.33
4,disambiguation_qa,chain_of_thought,0,0.58
5,disambiguation_qa,chain_of_thought,3,0.68
6,disambiguation_qa,multiple_choice_prompt,0,0.48
7,disambiguation_qa,multiple_choice_prompt,3,0.61
8,logical_deduction_three_objects,process_of_elimination(cot),0,0.46
9,logical_deduction_three_objects,process_of_elimination(cot),3,0.7
10,logical_deduction_three_objects,process_of_elimination(mcp),0,0.42
11,logical_deduction_three_objects,process_of_elimination(mcp),3,0.42
12,logical_deduction_three_objects,chain_of_thought,0,0.68
13,logical_deduction_three_objects,chain_of_thought,3,0.84
14,logical_deduction_three_objects,multiple_choice_prompt,0,0.51
15,logical_deduction_three_objects,multiple_choice_prompt,3,0.64
16,disambiguation_qa,process_of_elimination(cot),0,0.42
17,disambiguation_qa,process_of_elimination(cot),3,0.66
18,disambiguation_qa,process_of_elimination(mcp),0,0.5
19,disambiguation_qa,process_of_elimination(mcp),3,0.44
20,disambiguation_qa,chain_of_thought,0,0.58
21,disambiguation_qa,chain_of_thought,3,0.68
22,disambiguation_qa,multiple_choice_prompt,0,0.5
23,disambiguation_qa,multiple_choice_prompt,3,0.72
24,logical_deduction_three_objects,process_of_elimination(cot),0,0.49
25,logical_deduction_three_objects,process_of_elimination(cot),3,0.64
26,logical_deduction_three_objects,process_of_elimination(mcp),0,0.43
27,logical_deduction_three_objects,process_of_elimination(mcp),3,0.49
28,logical_deduction_three_objects,chain_of_thought,0,0.65
29,logical_deduction_three_objects,chain_of_thought,3,0.88
30,logical_deduction_three_objects,multiple_choice_prompt,0,0.6
31,logical_deduction_three_objects,multiple_choice_prompt,3,0.6
32,disambiguation_qa,process_of_elimination(cot),0,0.4
33,disambiguation_qa,process_of_elimination(cot),3,0.59
34,disambiguation_qa,process_of_elimination(mcp),0,0.47
35,disambiguation_qa,process_of_elimination(mcp),3,0.41
36,disambiguation_qa,chain_of_thought,0,0.57
37,disambiguation_qa,chain_of_thought,3,0.65
38,disambiguation_qa,multiple_choice_prompt,0,0.53
39,disambiguation_qa,multiple_choice_prompt,3,0.63
40,logical_deduction_three_objects,process_of_elimination(cot),0,0.51
41,logical_deduction_three_objects,process_of_elimination(cot),3,0.69
42,logical_deduction_three_objects,process_of_elimination(mcp),0,0.53
43,logical_deduction_three_objects,process_of_elimination(mcp),3,0.41
44,logical_deduction_three_objects,chain_of_thought,0,0.71
45,logical_deduction_three_objects,chain_of_thought,3,0.92
46,logical_deduction_three_objects,multiple_choice_prompt,0,0.51
47,logical_deduction_three_objects,multiple_choice_prompt,3,0.54
48,cqa,process_of_elimination(mcp),0,0.74
49,cqa,process_of_elimination(mcp),3,0.7
50,cqa,multiple_choice_prompt,0,0.72
51,cqa,multiple_choice_prompt,3,0.75
52,siqa,process_of_elimination(mcp),0,0.63
53,siqa,process_of_elimination(mcp),3,0.47
54,siqa,multiple_choice_prompt,0,0.58
55,siqa,multiple_choice_prompt,3,0.74
56,cqa,process_of_elimination(mcp),0,0.75
57,cqa,process_of_elimination(mcp),3,0.74
58,cqa,multiple_choice_prompt,0,0.75
59,cqa,multiple_choice_prompt,3,0.87
60,siqa,process_of_elimination(mcp),0,0.63
61,siqa,process_of_elimination(mcp),3,0.57
62,siqa,multiple_choice_prompt,0,0.58
63,siqa,multiple_choice_prompt,3,0.7
64,cqa,process_of_elimination(mcp),0,0.75
65,cqa,process_of_elimination(mcp),3,0.72
66,cqa,multiple_choice_prompt,0,0.76
67,cqa,multiple_choice_prompt,3,0.82
68,siqa,process_of_elimination(mcp),0,0.67
69,siqa,process_of_elimination(mcp),3,0.57
70,siqa,multiple_choice_prompt,0,0.62
71,siqa,multiple_choice_prompt,3,0.75
