model_family,checkpoint,loading_precision,dataset,batch_size,method,scoring_method,prompting_method,mask_strategy,mask_token,seed,n_shot,sample,mask_accuracy,accuracy
FLAN-T5,google/flan-t5-xl,FP16,code_line_description,16,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,0,0,100,0.9310,0.7586
FLAN-T5,google/flan-t5-xl,FP16,reasoning_about_colored_objects,16,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,0,0,100,1.0000,0.6900
FLAN-T5,google/flan-t5-xl,FP16,crass_ai,16,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,0,0,100,0.9773,0.8182
FLAN-T5,google/flan-t5-xl,FP16,evaluating_information_essentiality,16,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,0,0,100,0.8235,0.1912
FLAN-T5,google/flan-t5-xl,FP16,identify_math_theorems,16,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,0,0,100,0.9245,0.4717
FLAN-T5,google/flan-t5-xl,FP16,identify_odd_metaphor,16,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,0,0,100,0.8750,0.5000
FLAN-T5,google/flan-t5-xl,FP16,logical_args,16,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,0,0,100,1.0000,0.6875
FLAN-T5,google/flan-t5-xl,FP16,riddle_sense,16,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,0,0,100,0.9184,0.4898
FLAN-T5,google/flan-t5-xl,FP16,code_line_description,16,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,1,0,100,0.9310,0.7586
FLAN-T5,google/flan-t5-xl,FP16,reasoning_about_colored_objects,16,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,1,0,100,1.0000,0.6000
FLAN-T5,google/flan-t5-xl,FP16,crass_ai,16,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,1,0,100,0.9773,0.8182
FLAN-T5,google/flan-t5-xl,FP16,evaluating_information_essentiality,16,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,1,0,100,0.8235,0.1912
FLAN-T5,google/flan-t5-xl,FP16,identify_math_theorems,16,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,1,0,100,0.9245,0.4717
FLAN-T5,google/flan-t5-xl,FP16,identify_odd_metaphor,16,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,1,0,100,0.8750,0.5000
FLAN-T5,google/flan-t5-xl,FP16,logical_args,16,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,1,0,100,1.0000,0.6875
FLAN-T5,google/flan-t5-xl,FP16,riddle_sense,16,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,1,0,100,0.9184,0.4898
FLAN-T5,google/flan-t5-xl,FP16,code_line_description,16,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,2,0,100,0.9310,0.7586
FLAN-T5,google/flan-t5-xl,FP16,reasoning_about_colored_objects,16,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,2,0,100,1.0000,0.5700
FLAN-T5,google/flan-t5-xl,FP16,crass_ai,16,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,2,0,100,0.9773,0.8182
FLAN-T5,google/flan-t5-xl,FP16,evaluating_information_essentiality,16,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,2,0,100,0.8235,0.1912
FLAN-T5,google/flan-t5-xl,FP16,identify_math_theorems,16,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,2,0,100,0.9245,0.4717
FLAN-T5,google/flan-t5-xl,FP16,identify_odd_metaphor,16,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,2,0,100,0.8750,0.5000
FLAN-T5,google/flan-t5-xl,FP16,logical_args,16,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,2,0,100,1.0000,0.6875
FLAN-T5,google/flan-t5-xl,FP16,riddle_sense,16,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,2,0,100,0.9184,0.4898
FLAN-T5,google/flan-t5-xl,FP16,code_line_description,16,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,3,0,100,0.9310,0.7586
FLAN-T5,google/flan-t5-xl,FP16,reasoning_about_colored_objects,16,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,3,0,100,1.0000,0.6600
FLAN-T5,google/flan-t5-xl,FP16,crass_ai,16,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,3,0,100,0.9773,0.8182
FLAN-T5,google/flan-t5-xl,FP16,evaluating_information_essentiality,16,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,3,0,100,0.8235,0.1912
FLAN-T5,google/flan-t5-xl,FP16,identify_math_theorems,16,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,3,0,100,0.9245,0.4717
FLAN-T5,google/flan-t5-xl,FP16,identify_odd_metaphor,16,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,3,0,100,0.8750,0.5000
FLAN-T5,google/flan-t5-xl,FP16,logical_args,16,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,3,0,100,1.0000,0.6875
FLAN-T5,google/flan-t5-xl,FP16,riddle_sense,16,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,3,0,100,0.9184,0.4898
FLAN-T5,google/flan-t5-xl,FP16,code_line_description,16,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,4,0,100,0.9310,0.7586
FLAN-T5,google/flan-t5-xl,FP16,reasoning_about_colored_objects,16,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,4,0,100,1.0000,0.5100
FLAN-T5,google/flan-t5-xl,FP16,crass_ai,16,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,4,0,100,0.9773,0.8182
FLAN-T5,google/flan-t5-xl,FP16,evaluating_information_essentiality,16,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,4,0,100,0.8235,0.1912
FLAN-T5,google/flan-t5-xl,FP16,identify_math_theorems,16,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,4,0,100,0.9245,0.4717
FLAN-T5,google/flan-t5-xl,FP16,identify_odd_metaphor,16,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,4,0,100,0.8750,0.5000
FLAN-T5,google/flan-t5-xl,FP16,logical_args,16,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,4,0,100,1.0000,0.6875
FLAN-T5,google/flan-t5-xl,FP16,riddle_sense,16,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,4,0,100,0.9184,0.4898
