model_family,checkpoint,loading_precision,dataset,batch_size,method,scoring_method,prompting_method,mask_strategy,mask_token,seed,n_shot,sample,mask_accuracy,accuracy
FLAN-T5,google/flan-t5-xl,FP16,anli,16,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,0,0,100,0.8200,0.5700
FLAN-T5,google/flan-t5-xl,FP16,cqa,16,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,0,0,100,0.9900,0.9000
FLAN-T5,google/flan-t5-xl,FP16,siqa,16,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,0,0,100,0.9400,0.7600
FLAN-T5,google/flan-t5-xl,FP16,logical_deduction_five_objects,16,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,0,0,100,0.8500,0.5200
FLAN-T5,google/flan-t5-xl,FP16,disambiguation_qa,16,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,0,0,100,0.8200,0.6700
FLAN-T5,google/flan-t5-xl,FP16,conceptual_combinations,16,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,0,0,100,0.9300,0.7600
FLAN-T5,google/flan-t5-xl,FP16,strange_stories,16,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,0,0,100,0.9800,0.7600
FLAN-T5,google/flan-t5-xl,FP16,symbol_interpretation,16,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,0,0,100,0.7900,0.1900
FLAN-T5,google/flan-t5-xl,FP16,anli,16,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,1,0,100,0.8900,0.5500
FLAN-T5,google/flan-t5-xl,FP16,cqa,16,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,1,0,100,1.0000,0.8900
FLAN-T5,google/flan-t5-xl,FP16,siqa,16,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,1,0,100,0.9500,0.8000
FLAN-T5,google/flan-t5-xl,FP16,logical_deduction_five_objects,16,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,1,0,100,0.8900,0.5400
FLAN-T5,google/flan-t5-xl,FP16,disambiguation_qa,16,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,1,0,100,0.8300,0.6900
FLAN-T5,google/flan-t5-xl,FP16,conceptual_combinations,16,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,1,0,100,0.9200,0.7600
FLAN-T5,google/flan-t5-xl,FP16,strange_stories,16,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,1,0,100,0.9700,0.7500
FLAN-T5,google/flan-t5-xl,FP16,symbol_interpretation,16,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,1,0,100,0.8900,0.2800
FLAN-T5,google/flan-t5-xl,FP16,anli,16,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,2,0,100,0.8600,0.5500
FLAN-T5,google/flan-t5-xl,FP16,cqa,16,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,2,0,100,1.0000,0.8500
FLAN-T5,google/flan-t5-xl,FP16,siqa,16,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,2,0,100,0.9500,0.8200
FLAN-T5,google/flan-t5-xl,FP16,logical_deduction_five_objects,16,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,2,0,100,0.9100,0.5500
